texto,sigla,nivel
21 - DISPARO LOCALIZADOR DE FALTA,21D,1
21 - DISPARO LOCALIZADOR DE FALTA,21D,1
21 - DISPARO LOCALIZADOR DE FALTA,21D,2
21 - DISPARO LOCALIZADOR DE FALTA,21D,2
DE - 21 DISPARO LOCALIZADOR FALTA 01F1 - ABERTO,21D,3
DE LOCALIZADOR DISPARO 21 - FALTA 43TC - FECHADO,21D,3
DISPARO 21 LOOCALIZADOR - DE 01F1 BLOQUEIO,21D,4
- FALTA DIPARO DE 01Q0 - BLOQUEIO,21D,4
FALTA DIPAROLOCALIZADOR REMOTO 01Q0 - DE,21D,5
52-2 - FALTA21 ABERTO DE 43TC DISSPARO,21D,5
21 - FUNCAO DISTANCIA,21,1
21 - FUNCAO DISTANCIA,21,1
21 - FUNCAO DISTANCIA,21,2
21 - FUNCAO DISTANCIA,21,2
- DISTANCIA FUNCAO 21 52-2 - POS. REMOTO,21,3
- 21 FUNCAO DISTANCIA IED 01F1 - FECHADO,21,3
DISTANCIA FUNCAO 01Q POS. REMOTO (21),21,4
DISTANCIA FUNCAO 21 IED 0F1 - FECHADO,21,4
FUNCA 01Q0 - ABERO O-,21,5
DISTANCI -52-2 01F1 IED -,21,5
21 - FUNCAO DISTANCIA,21,1
21 - FUNCAO DISTANCIA,21,1
21 - FUNCAO DISTANCIA,21,2
21 - FUNCAO DISTANCIA,21,2
- DISTANCIA FUNCAO 21 52-2 - POS. REMOTO,21,3
- 21 FUNCAO DISTANCIA IED 01F1 - FECHADO,21,3
DISTANCIA FUNCAO 01Q POS. REMOTO (21),21,4
DISTANCIA FUNCAO 21 IED 0F1 - FECHADO,21,4
FUNCA 01Q0 - ABERO O-,21,5
DISTANCI -52-2 01F1 IED -,21,5
21 - TRIP DISTANCIA,21_T,1
21 - TRIP DISTANCIA,21_T,1
21 - TRIP DISTANCIA,21_T,2
21 - TRIP DISTANCIA,21_T,2
21 DISTANCIA TRIP - 43TC - BLOQUEIO,21_T,3
- TRIP DISTANCIA 21 01Q0 - FECHADO,21_T,3
TRIP - DISTANCIA 21 FECAHDO,21_T,4
- DDISTANCIA TRIP 21 01Q0 REMOTO,21_T,4
REMOTO 01Q0 POS. TRIP 0- 52-1 21,21_T,5
- - FECHADO 52-1 43TCC,21_T,5
21 - TRIP DISTANCIA ESTENDIDA FASES,21EF,1
21 - TRIP DISTANCIA ESTENDIDA FASES,21EF,1
21 - TRIP DISTANCIA ESTENDIDA FASES,21EF,2
21 - TRIP DISTANCIA ESTENDIDA FASES,21EF,2
FASES - DISTANCIA 21 TRIP ESTENDIDA 01Q0 - ABERTO,21EF,3
TRIP ESTENDIDA DISTANCIA - FASES 21 43TC - POS. REMOTO,21EF,3
- FASES DISTANCIA ESTENDIDATRIP - ABERTO,21EF,4
FASES - ESTENDIAD 21 TRIP 43TC -,21EF,4
52-1 1F1 DISTANCIA - FASES TIP -,21EF,5
01F1 5-2 POS. REMOTO - TRIIP 21,21EF,5
21 - TRIP DISTANCIA ESTENDIDA MONOFASICA,21EM,1
21 - TRIP DISTANCIA ESTENDIDA MONOFASICA,21EM,1
21 - TRIP DISTANCIA ESTENDIDA MONOFASICA,21EM,2
21 - TRIP DISTANCIA ESTENDIDA MONOFASICA,21EM,2
MONOFASICA TRIP DISTANCIA 21 - ESTENDIDA 01Q0 - TRIP,21EM,3
DISTANCIA ESTENDIDA 21 - MONOFASICA TRIP 52-2 - TRIP,21EM,3
TRIP ESTENDIDA MONOFASICCA 21 52-1 BLOQUEIO,21EM,4
- TRIP MONOFASICA 21 43TC - BLOQUEIO,21EM,4
FECHADO 21 DISTANCIA TRRIP 01F1 MONOFASSICA IED,21EM,5
01F1 21 - MONOFASICA ESTENDIDA DISSTANCIA EFCHADO,21EM,5
21 - TRIP DISTANCIA FASE A,21FA,1
21 - TRIP DISTANCIA FASE A,21FA,1
21 - TRIP DISTANCIA FASE A,21FA,2
21 - TRIP DISTANCIA FASE A,21FA,2
DISTANCIA - TRIP A 21 FASE 52-2 - POS. REMOTO,21FA,3
21 - FASE A DISTANCIA TRIP 01Q0 - TRIP,21FA,3
TRIP DISTANCIA A 01F1 FECHADO (21),21FA,4
TRIP 21 A DISTANCIA 52-2 - TIP,21FA,4
- - 21 FASE 01F1 A TRIP IED DISTANCCIA,21FA,5
ABERTO 01F1 TRIP 21 FASE DISATNCIIA -,21FA,5
21 - TRIP DISTANCIA FASE B,21FB,1
21 - TRIP DISTANCIA FASE B,21FB,1
21 - TRIP DISTANCIA FASE B,21FB,2
21 - TRIP DISTANCIA FASE B,21FB,2
21 FASE - B DISTANCIA TRIP 01Q0 - TRIP,21FB,3
FASE B DISTANCIA TRIP - 21 IED 01F1 - TRIP,21FB,3
FASE - 21 DISTANCIIA TRIP - POS.,21FB,4
TRIP DISSTANCIA FASE 21 B POS. REMOTO,21FB,4
A- 01Q0 FASE DISTANCI TRIP B 12,21FB,5
(21) FASE BLOQUIEO 10F1 01Q0,21FB,5
21 - TRIP DISTANCIA FASE C,21FC,1
21 - TRIP DISTANCIA FASE C,21FC,1
21 - TRIP DISTANCIA FASE C,21FC,2
21 - TRIP DISTANCIA FASE C,21FC,2
21 TRIP DISTANCIA - FASE C 01Q0 - TRIP,21FC,3
C - 21 TRIP DISTANCIA FASE 52-1 - TRIP,21FC,3
TRIP 2 1- C 43TC -,21FC,4
FASE C TIRP 01F1 - ABERTO,21FC,4
52-1 TRIP ABERTO 21C - 521 -,21FC,5
DSITANCIA - FASEC - 01F1 IED,21FC,5
21 - TRIP DISTANCIA MONOFASICO,21MO,1
21 - TRIP DISTANCIA MONOFASICO,21MO,1
21 - TRIP DISTANCIA MONOFASICO,21MO,2
21 - TRIP DISTANCIA MONOFASICO,21MO,2
- TRIP DISTANCIA 21 MONOFASICO 01F1 - TRIP,21MO,3
TRIP 21 DISTANCIA MONOFASICO - 01F1 - POS. REMOTO,21MO,3
TRIP MONOFASICO DISTANCIA 001Q0 (21),21MO,4
MONOFASICO TRIP - 21 - FFECHADO,21MO,4
52-1 21 - ONOFASICO ABERTO 52-2,21MO,5
BLOQUEIO - DISTANCIAA MOONFASICO 01F1,21MO,5
21 - TRIP DISTANCIA MULTI FASES,21MF,1
21 - TRIP DISTANCIA MULTI FASES,21MF,1
21 - TRIP DISTANCIA MULTI FASES,21MF,2
21 - TRIP DISTANCIA MULTI FASES,21MF,2
- 21 TRIP DISTANCIA MULTI FASES IED 01F1 - POS. REMOTO,21MF,3
21 MULTI - TRIP DISTANCIA FASES IED 01F1 - ABERTO,21MF,3
- MULTI FAES DISTANCIA 21 52-1 - FECHADO,21MF,4
- 21 DISTANCIA FASESS TRIP 43TC -,21MF,4
- 43TCC FECHADO - 21 ISTANCIA 52-2,21MF,5
FASE A- BLOQUEIO MULTI 21 - 43TC,21MF,5
21 - TRIP DISTANCIA NEUTRO,21N,1
21 - TRIP DISTANCIA NEUTRO,21N,1
21 - TRIP DISTANCIA NEUTRO,21N,2
21 - TRIP DISTANCIA NEUTRO,21N,2
- DISTANCIA 21 TRIP NEUTRO 01F1 - TRIP,21N,3
TRIP - 21 NEUTRO DISTANCIA 01Q0 - POS. REMOTO,21N,3
ENUTRO 21 TRIP IED 01F1 ABERTO,21N,4
TRIP - NEUTRO DISTANCIA 01F1 BLOQUEIO,21N,4
BLOQUEIO 011 (21) 43TC NEUUTRO,21N,5
(21) 52-11 REMOTO IED 01F1 POS. TRIP,21N,5
21 - TRIP FASE ZONA 1,21F1,1
21 - TRIP FASE ZONA 1,21F1,1
21 - TRIP FASE ZONA 1,21F1,2
21 - TRIP FASE ZONA 1,21F1,2
TRIP - FASE 1 ZONA 21 IED 01F1 - ABERTO,21F1,3
FASE 1 ZONA - 21 TRIP 43TC - BLOQUEIO,21F1,3
-ZONA FASE 21 1 TRIP 43TC POS. REMOTO,21F1,4
TRIP 1 52-2 ABERTO(21),21F1,4
-FASE 52-2 52-2 1,21F1,5
5-22 52-2 FASE- - ZONA,21F1,5
21 - TRIP FASE ZONA 2,21F2,1
21 - TRIP FASE ZONA 2,21F2,1
21 - TRIP FASE ZONA 2,21F2,2
21 - TRIP FASE ZONA 2,21F2,2
TRIP ZONA 2 - 21 FASE 52-1 - POS. REMOTO,21F2,3
21 FASE 2 ZONA - TRIP IED 01F1 - BLOQUEIO,21F2,3
TRIP - 212 ZONA 01Q0 -,21F2,4
2 FAE ZONA 21 52-2 -,21F2,4
01F1 TRIP - IED ID 01F1T RIP 21,21F2,5
FASE 2 01F1 D TRIP (21) IED ZONAI,21F2,5
21 - TRIP FASE ZONA 3,21F3,1
21 - TRIP FASE ZONA 3,21F3,1
21 - TRIP FASE ZONA 3,21F3,2
21 - TRIP FASE ZONA 3,21F3,2
21 FASE ZONA - 3 TRIP 52-1 - TRIP,21F3,3
- FASE TRIP ZONA 21 3 52-2 - TRIP,21F3,3
FASE - TRRIP 43TC - BLOQUEIO,21F3,4
ZON A3 FECHADO (21),21F3,4
52-2 21 3 TRP 01F1 - FSE,21F3,5
IED 52-2 - 01F1 ZNA - TRIP 21,21F3,5
21 - TRIP FASE ZONA 4,21F4,1
21 - TRIP FASE ZONA 4,21F4,1
21 - TRIP FASE ZONA 4,21F4,2
21 - TRIP FASE ZONA 4,21F4,2
21 ZONA - FASE TRIP 4 01F1 - TRIP,21F4,3
21 TRIP ZONA - 4 FASE 01Q0 - POS. REMOTO,21F4,3
- 4 FASE ZONA 21 TRIP 01F1 PPOS. REMOTO,21F4,4
TRIP 21 ZOA 4 - - TRIP,21F4,4
4 25-1 010Q ZONA - FASE 21,21F4,5
01F1 52-1 BLOQUIO (21)),21F4,5
21 - TRIP NEUTRO ZONA 1,21N1,1
21 - TRIP NEUTRO ZONA 1,21N1,1
21 - TRIP NEUTRO ZONA 1,21N1,2
21 - TRIP NEUTRO ZONA 1,21N1,2
ZONA - 21 NEUTRO TRIP 1 01F1 - ABERTO,21N1,3
1 NEUTRO TRIP ZONA 21 - 52-2 - TRIP,21N1,3
ZONA NEUTRO TRIP 1 - IED 011 - POS. REMOTO,21N1,4
1 NEURTO ZONA TRIP - IED 01F1 - ABERTO,21N1,4
(21) REMOTO ED 1 TRIPZI 43TC POS.,21N1,5
ONA BLOUEIO 01Q0 43TC 1,21N1,5
21 - TRIP NEUTRO ZONA 2,21N2,1
21 - TRIP NEUTRO ZONA 2,21N2,1
21 - TRIP NEUTRO ZONA 2,21N2,2
21 - TRIP NEUTRO ZONA 2,21N2,2
2 21 TRIP NEUTRO ZONA - 52-1 - TRIP,21N2,3
21 2 TRIP ZONA NEUTRO - 01Q0 - FECHADO,21N2,3
NEUTRO 2 ZONA TRIP AABERTO (21),21N2,4
2 ZONA TRIP 01F1BLOQUEIO (21),21N2,4
- IED 01Q0 01F1 NEUTRO TRIP,21N2,5
- FECHADO ZONA 01F1 IED TRIP 2 01F1 NETURO,21N2,5
21 - TRIP NEUTRO ZONA 3,21N3,1
21 - TRIP NEUTRO ZONA 3,21N3,1
21 - TRIP NEUTRO ZONA 3,21N3,2
21 - TRIP NEUTRO ZONA 3,21N3,2
- 21 TRIP ZONA NEUTRO 3 01Q0 - POS. REMOTO,21N3,3
NEUTRO ZONA - 3 21 TRIP 01F1 - BLOQUEIO,21N3,3
- 3 NEUTRO ZONA TRIP 521 - POS.,21N3,4
- 21 3 NEUTRO TIP 01Q0 -,21N3,4
NEURO ZONA TRIP (21) 01F1,21N3,5
PS. 01Q0 ZONA3 52-2,21N3,5
21 - TRIP NEUTRO ZONA 4,21N4,1
21 - TRIP NEUTRO ZONA 4,21N4,1
21 - TRIP NEUTRO ZONA 4,21N4,2
21 - TRIP NEUTRO ZONA 4,21N4,2
- NEUTRO TRIP 4 ZONA 21 43TC - FECHADO,21N4,3
- TRIP 4 NEUTRO 21 ZONA 01F1 - ABERTO,21N4,3
NEUTRO 4 TRIP - ZONA 52-2 - ABETO,21N4,4
4 21 NEUTRO TRIP - ZONA 552-2 BLOQUEIO,21N4,4
4 01F1 21 POS. TRI ZONA IED - EMOTO 52-2,21N4,5
- ZONA 52-1 21 52-2 NEUTRO ABRETO,21N4,5
21 - TRIP ZONA 1,21Z1,1
21 - TRIP ZONA 1,21Z1,1
21 - TRIP ZONA 1,21Z1,2
21 - TRIP ZONA 1,21Z1,2
21 1 - TRIP ZONA 52-1 - TRIP,21Z1,3
ZONA TRIP - 21 1 01Q0 - POS. REMOTO,21Z1,3
TRIP - 1 ZONA 52-1 - POS. REMOO,21Z1,4
ZONA 1 21 43TC - BOLQUEIO,21Z1,4
ZONA 1 01Q0 01Q0 - 21 TRIRP,21Z1,5
011F TRIP 52-2 IED (21),21Z1,5
21 - TRIP ZONA 2,21Z2,1
21 - TRIP ZONA 2,21Z2,1
21 - TRIP ZONA 2,21Z2,2
21 - TRIP ZONA 2,21Z2,2
- TRIP 2 21 ZONA 52-1 - POS. REMOTO,21Z2,3
TRIP 21 ZONA - 2 43TC - TRIP,21Z2,3
- TRIP ZONA2 1 2 01F1 -,21Z2,4
TRIP - 21 01F1- ABERTO,21Z2,4
- TRIIP 01F1 - 01F1 BLOQUEIO 2,21Z2,5
FECHADO TRRIP 52-1 4TC,21Z2,5
21 - TRIP ZONA 3,21Z3,1
21 - TRIP ZONA 3,21Z3,1
21 - TRIP ZONA 3,21Z3,2
21 - TRIP ZONA 3,21Z3,2
TRIP - ZONA 3 21 01Q0 - BLOQUEIO,21Z3,3
TRIP 3 21 - ZONA 43TC - BLOQUEIO,21Z3,3
ZON - 3 TRIP - REMOTO,21Z3,4
TRIP 3 ZONA IE D01F1 FECHADO (21),21Z3,4
21 TRIZ ONA 43TC REMOTO - 52-1,21Z3,5
ECHADO 352-1F 01F1 (21),21Z3,5
21 - TRIP ZONA 4,21Z4,1
21 - TRIP ZONA 4,21Z4,1
21 - TRIP ZONA 4,21Z4,2
21 - TRIP ZONA 4,21Z4,2
21 TRIP 4 ZONA - 52-2 - POS. REMOTO,21Z4,3
- 21 TRIP ZONA 4 52-2 - TRIP,21Z4,3
TRIP 4 52-1 RIP (21),21Z4,4
4 TRIP 43TC BLOQUEI O(21),21Z4,4
43TC 52- TRIP ZONA21 -,21Z4,5
- POS. REMOTO 552-1 TRIP ZONA,21Z4,5
21 - TRIP ZONA 5,21Z5,1
21 - TRIP ZONA 5,21Z5,1
21 - TRIP ZONA 5,21Z5,2
21 - TRIP ZONA 5,21Z5,2
- 5 21 TRIP ZONA 01Q0 - TRIP,21Z5,3
TRIP - 5 21 ZONA 01Q0 - FECHADO,21Z5,3
TRIP ZONA IED 0F1 (21),21Z5,4
ZNOA 5 - 21 - FECHADO,21Z5,4
21 01Q0 ZONA TRIP - 43TC,21Z5,5
TRIP 01Q0 - ZONA2 - 11,21Z5,5
24 - INSTANTANEA SOBREEXCITACAO (VOLTS HERTZ),24I,1
24 - INSTANTANEA SOBREEXCITACAO (VOLTS HERTZ),24I,1
24 - INSTANTANEA SOBREEXCITACAO (VOLTS HERTZ),24I,2
24 - INSTANTANEA SOBREEXCITACAO (VOLTS HERTZ),24I,2
- INSTANTANEA HERTZ) SOBREEXCITACAO 24 (VOLTS 43TC - ABERTO,24I,3
INSTANTANEA SOBREEXCITACAO 24 (VOLTS - HERTZ) IED 01F1 - ABERTO,24I,3
- INSTANTANEA 24 (VOOLTS HERTZ) 01F1 - TRIP,24I,4
(VOLTSS OBREEXCITACAO INSTANTANEA - HERTZ) IED 01F1 - ABERTO,24I,4
BLOQUEIO (VOLTS 01Q0 01Q0 HERTZ) INSTANNTANE 24 A-,24I,5
24 (VOLTS - BERTO - 52-22 01F1,24I,5
24 - INSTANTANEA SOBREEXCITACAO (VOLTS HERTZ) E1,24I1,1
24 - INSTANTANEA SOBREEXCITACAO (VOLTS HERTZ) E1,24I1,1
24 - INSTANTANEA SOBREEXCITACAO (VOLTS HERTZ) E1,24I1,2
24 - INSTANTANEA SOBREEXCITACAO (VOLTS HERTZ) E1,24I1,2
INSTANTANEA 24 HERTZ) E1 - SOBREEXCITACAO (VOLTS 01F1 - ABERTO,24I1,3
24 SOBREEXCITACAO INSTANTANEA - (VOLTS HERTZ) E1 52-1 - BLOQUEIO,24I1,3
- (VOLTS E1 IINSTANTANEA 24 HERTZ) 52-1 - POS. REMOTO,24I1,4
E1 SOBREEXCITACAO HERTZ) (VOLTSI NSTANTANEA IED 01F1 (24),24I1,4
SOBREEXCITACAO POS. 01F1 HERTZ) IED - - 52-1 E1 (VLTS,24I1,5
52-2 HERTZ) (VOLTS POS. E1 - SOBREEXCITACAO 01Q0 REMOO INSTANTANEA,24I1,5
24 - INSTANTANEA SOBREEXCITACAO (VOLTS HERTZ) E2,24I2,1
